,datetime,place,path_prev,path_next,path_u,path_v,level_prev,level_next
0,2018-11-01 00:17:22,SHOP,2018/11/01/20181101_000058-SHOP.jpg,2018/11/01/20181101_001722-SHOP.jpg,u/2018/11/01/20181101_001722-SHOP.jpg,v/2018/11/01/20181101_001722-SHOP.jpg,1.0,1.0
1,2018-11-01 00:33:51,SHOP,2018/11/01/20181101_001722-SHOP.jpg,2018/11/01/20181101_003351-SHOP.jpg,u/2018/11/01/20181101_003351-SHOP.jpg,v/2018/11/01/20181101_003351-SHOP.jpg,1.0,1.0
2,2018-11-01 00:50:03,SHOP,2018/11/01/20181101_003351-SHOP.jpg,2018/11/01/20181101_005003-SHOP.jpg,u/2018/11/01/20181101_005003-SHOP.jpg,v/2018/11/01/20181101_005003-SHOP.jpg,1.0,1.0
3,2018-11-01 01:06:17,SHOP,2018/11/01/20181101_005003-SHOP.jpg,2018/11/01/20181101_010617-SHOP.jpg,u/2018/11/01/20181101_010617-SHOP.jpg,v/2018/11/01/20181101_010617-SHOP.jpg,1.0,1.0
4,2018-11-01 01:22:30,SHOP,2018/11/01/20181101_010617-SHOP.jpg,2018/11/01/20181101_012230-SHOP.jpg,u/2018/11/01/20181101_012230-SHOP.jpg,v/2018/11/01/20181101_012230-SHOP.jpg,1.0,1.0
5,2018-11-01 01:38:43,SHOP,2018/11/01/20181101_012230-SHOP.jpg,2018/11/01/20181101_013843-SHOP.jpg,u/2018/11/01/20181101_013843-SHOP.jpg,v/2018/11/01/20181101_013843-SHOP.jpg,1.0,1.0
6,2018-11-01 01:54:56,SHOP,2018/11/01/20181101_013843-SHOP.jpg,2018/11/01/20181101_015456-SHOP.jpg,u/2018/11/01/20181101_015456-SHOP.jpg,v/2018/11/01/20181101_015456-SHOP.jpg,1.0,1.0
7,2018-11-01 02:00:58,SHOP,2018/11/01/20181101_015456-SHOP.jpg,2018/11/01/20181101_020058-SHOP.jpg,u/2018/11/01/20181101_020058-SHOP.jpg,v/2018/11/01/20181101_020058-SHOP.jpg,1.0,1.0
8,2018-11-01 02:17:12,SHOP,2018/11/01/20181101_020058-SHOP.jpg,2018/11/01/20181101_021712-SHOP.jpg,u/2018/11/01/20181101_021712-SHOP.jpg,v/2018/11/01/20181101_021712-SHOP.jpg,1.0,1.0
9,2018-11-01 02:33:24,SHOP,2018/11/01/20181101_021712-SHOP.jpg,2018/11/01/20181101_023324-SHOP.jpg,u/2018/11/01/20181101_023324-SHOP.jpg,v/2018/11/01/20181101_023324-SHOP.jpg,1.0,1.0
10,2018-11-01 02:49:37,SHOP,2018/11/01/20181101_023324-SHOP.jpg,2018/11/01/20181101_024937-SHOP.jpg,u/2018/11/01/20181101_024937-SHOP.jpg,v/2018/11/01/20181101_024937-SHOP.jpg,1.0,1.0
11,2018-11-01 03:05:49,SHOP,2018/11/01/20181101_024937-SHOP.jpg,2018/11/01/20181101_030549-SHOP.jpg,u/2018/11/01/20181101_030549-SHOP.jpg,v/2018/11/01/20181101_030549-SHOP.jpg,1.0,1.0
12,2018-11-01 03:22:02,SHOP,2018/11/01/20181101_030549-SHOP.jpg,2018/11/01/20181101_032202-SHOP.jpg,u/2018/11/01/20181101_032202-SHOP.jpg,v/2018/11/01/20181101_032202-SHOP.jpg,1.0,1.0
13,2018-11-01 03:38:16,SHOP,2018/11/01/20181101_032202-SHOP.jpg,2018/11/01/20181101_033816-SHOP.jpg,u/2018/11/01/20181101_033816-SHOP.jpg,v/2018/11/01/20181101_033816-SHOP.jpg,1.0,1.0
14,2018-11-01 03:54:29,SHOP,2018/11/01/20181101_033816-SHOP.jpg,2018/11/01/20181101_035429-SHOP.jpg,u/2018/11/01/20181101_035429-SHOP.jpg,v/2018/11/01/20181101_035429-SHOP.jpg,1.0,1.0
15,2018-11-01 04:00:58,SHOP,2018/11/01/20181101_035429-SHOP.jpg,2018/11/01/20181101_040058-SHOP.jpg,u/2018/11/01/20181101_040058-SHOP.jpg,v/2018/11/01/20181101_040058-SHOP.jpg,1.0,1.0
16,2018-11-01 04:17:14,SHOP,2018/11/01/20181101_040058-SHOP.jpg,2018/11/01/20181101_041714-SHOP.jpg,u/2018/11/01/20181101_041714-SHOP.jpg,v/2018/11/01/20181101_041714-SHOP.jpg,1.0,1.0
17,2018-11-01 04:33:27,SHOP,2018/11/01/20181101_041714-SHOP.jpg,2018/11/01/20181101_043327-SHOP.jpg,u/2018/11/01/20181101_043327-SHOP.jpg,v/2018/11/01/20181101_043327-SHOP.jpg,1.0,1.0
18,2018-11-01 04:49:40,SHOP,2018/11/01/20181101_043327-SHOP.jpg,2018/11/01/20181101_044940-SHOP.jpg,u/2018/11/01/20181101_044940-SHOP.jpg,v/2018/11/01/20181101_044940-SHOP.jpg,1.0,1.0
19,2018-11-01 05:05:52,SHOP,2018/11/01/20181101_044940-SHOP.jpg,2018/11/01/20181101_050552-SHOP.jpg,u/2018/11/01/20181101_050552-SHOP.jpg,v/2018/11/01/20181101_050552-SHOP.jpg,1.0,1.0
20,2018-11-01 05:22:05,SHOP,2018/11/01/20181101_050552-SHOP.jpg,2018/11/01/20181101_052205-SHOP.jpg,u/2018/11/01/20181101_052205-SHOP.jpg,v/2018/11/01/20181101_052205-SHOP.jpg,1.0,1.0
21,2018-11-01 06:32:37,SHOP,2018/11/01/20181101_061711-SHOP.jpg,2018/11/01/20181101_063237-SHOP.jpg,u/2018/11/01/20181101_063237-SHOP.jpg,v/2018/11/01/20181101_063237-SHOP.jpg,1.0,1.0
22,2018-11-01 06:48:04,SHOP,2018/11/01/20181101_063237-SHOP.jpg,2018/11/01/20181101_064804-SHOP.jpg,u/2018/11/01/20181101_064804-SHOP.jpg,v/2018/11/01/20181101_064804-SHOP.jpg,1.0,1.0
23,2018-11-01 07:03:31,SHOP,2018/11/01/20181101_064804-SHOP.jpg,2018/11/01/20181101_070331-SHOP.jpg,u/2018/11/01/20181101_070331-SHOP.jpg,v/2018/11/01/20181101_070331-SHOP.jpg,1.0,1.0
